"gene","meanreadprop","Pop_P","Fib_P","Pop:Fib_P","Pop_GvS_C","Pop_RvS_C","Fib_C","GvS:Fib_C","RvS:Fib_C"
"ENSGACT00000005078","7.70806300483663e-05","6.20119975236831e-26","0.000114354768173804","0.0156149733470735","-0.038556812778087","0.122920663242123","0.0184946647747717","0.0149849311685708","-0.0165189336437659"
"ENSGACT00000023891","0.000149151600698003","8.26164970188849e-37","0.000115395222770531","0.0153526010321157","-0.0694012332935411","0.078744440102751","0.0145852960579148","0.00981230224012891","-0.0136506530936515"
"ENSGACT00000020164","0.000105252091698378","5.23518921797194e-41","0.000115485308132226","0.119851626646476","-0.0318510813499193","0.114265761677503","0.0127123536565816","0.0102920147148059","-0.00721008851112264"
"ENSGACT00000008172","7.65513308489738e-05","1.84823365546145e-08","0.000115734082906816","0.85424189582125","-0.0158548752424252","-0.106134801093661","0.0176208791971674","-0.00118377256108249","0.00532453666636058"
"ENSGACT00000021001","7.0204697524038e-05","2.14998207436055e-06","0.000115890528430496","0.247604036755657","0.0590398020021615","0.0744432995047089","0.0259925951195217","-0.0196150804219358","-0.00236887724637727"
"ENSGACT00000024401","9.29873766744588e-05","1.81079062820229e-09","0.000116381019941515","0.383504591676222","0.00953098770980236","-0.157868708533678","0.0157419570823598","0.0176764453795464","0.0226075742934732"
"ENSGACT00000008615","6.27178088363988e-05","4.07809485976798e-08","0.000116678076687613","0.378973202670907","-0.0385693000663583","0.0768642863841405","0.0207350838267549","0.0161856529089726","-0.00458069425961274"
"ENSGACT00000019411","4.32139151233974e-05","0.0123509203884251","0.000117007112256225","0.34892303810533","-0.0875214413543992","0.0186202483059865","0.0457515630496007","0.0135096528092671","-0.0249933651467961"
"ENSGACT00000011256","0.00011395174089171","4.6252905734288e-28","0.00011740812058166","0.0883980299291082","-0.0784072674687701","0.047370929252927","0.0135265622578567","0.00875721301042643","-0.00956398095089395"
"ENSGACT00000024631","0.000116167406910722","1.86638487836321e-36","0.000117454190226893","0.059376054342636","-0.0339051771232178","0.0733512254357918","0.0071397164742166","0.012277960764262","-0.00212624020923927"
"ENSGACT00000012921","5.97934473622346e-05","0.419945752180501","0.000118245372773758","0.695796467974958","0.0223479979298371","0.00398575848542781","-0.0366485635829982","0.00453786200086289","0.0155939853292465"
